approved,loan_amount,income,debt_to_income_ratio,loan_to_value_ratio,loan_purpose,applicant_race-1,applicant_sex,applicant_age,property_value,occupancy_type
1,515000.0,111.0,50%-60%,83.607,1,5.0,1,35-44,615000,1
1,105000.0,31.0,45,47.768,32,5.0,2,55-64,225000,1
0,205000.0,70.0,45,57.14,32,5.0,2,45-54,355000,1
0,55000.0,30.0,Exempt,Exempt,2,3.0,1,55-64,Exempt,1
1,265000.0,135.0,20%-<30%,67.436,32,6.0,1,55-64,395000,1
1,175000.0,72.0,45,95.0,1,5.0,1,25-34,185000,1
1,315000.0,115.0,42,70.47,1,5.0,2,25-34,445000,1
1,225000.0,96.0,42,64.0,32,6.0,2,55-64,345000,1
1,515000.0,180.0,30%-<36%,80.0,1,21.0,1,45-54,645000,1
1,355000.0,120.0,30%-<36%,90.0,1,6.0,3,25-34,395000,1
1,375000.0,106.0,30%-<36%,95.0,1,5.0,2,35-44,395000,1
0,495000.0,124.0,40,90.0,1,2.0,2,55-64,555000,1
1,405000.0,211.0,30%-<36%,66.244,1,5.0,1,65-74,615000,1
1,415000.0,146.0,40,95.0,1,5.0,1,35-44,435000,1
0,65000.0,114.0,44,71.56,2,5.0,2,35-44,285000,1
1,155000.0,123.0,20%-<30%,79.97,1,5.0,1,35-44,505000,1
1,165000.0,51.0,41,96.5,1,5.0,1,<25,175000,1
1,565000.0,170.0,48,80.0,1,2.0,1,25-34,705000,1
1,205000.0,76.0,<20%,70.0,1,21.0,2,<25,285000,3
1,145000.0,77.0,30%-<36%,35.897,32,5.0,2,55-64,395000,1
0,45000.0,91.0,>60%,68.48,2,6.0,1,45-54,325000,1
1,435000.0,132.0,41,90.0,1,5.0,1,25-34,485000,1
1,215000.0,86.0,44,67.0,32,6.0,3,35-44,325000,1
1,165000.0,131.0,30%-<36%,73.07,31,6.0,1,35-44,225000,1
1,605000.0,277.0,20%-<30%,97.0,1,5.0,1,25-34,625000,1
1,175000.0,114.0,20%-<30%,58.75,31,5.0,1,25-34,295000,1
1,195000.0,114.0,44,60.0,32,6.0,3,45-54,335000,1
0,115000.0,40.0,>60%,,1,5.0,1,25-34,105000,1
1,185000.0,69.0,49,38.723,32,5.0,1,45-54,475000,1
0,305000.0,400.0,20%-<30%,93.004,4,6.0,3,25-34,905000,1
0,405000.0,105.0,50%-60%,96.5,1,3.0,2,45-54,415000,1
1,245000.0,79.0,>60%,95.0,1,5.0,1,25-34,255000,1
1,255000.0,78.0,42,75.252,32,26.0,2,55-64,335000,1
1,35000.0,91.0,30%-<36%,15.766,2,5.0,1,45-54,225000,1
0,375000.0,307.0,47,95.0,1,6.0,3,<25,395000,1
1,195000.0,56.0,38,79.592,32,6.0,3,>74,245000,1
1,145000.0,62.0,45,95.0,1,5.0,2,35-44,155000,1
0,95000.0,75.0,20%-<30%,,1,6.0,2,45-54,115000,1
0,55000.0,181.0,>60%,39.354,4,6.0,3,55-64,1605000,1
1,45000.0,27.0,46,26.655,32,5.0,2,65-74,175000,1
1,275000.0,102.0,50%-60%,96.5,1,5.0,2,25-34,285000,1
1,305000.0,235.0,20%-<30%,43.85,1,5.0,1,35-44,685000,1
1,755000.0,348.0,30%-<36%,95.0,1,5.0,1,55-64,795000,1
1,155000.0,205.0,30%-<36%,77.0,1,5.0,2,35-44,905000,1
0,205000.0,132.0,49,61.606,32,5.0,1,55-64,335000,1
1,165000.0,110.0,40,75.0,1,5.0,1,45-54,225000,3
1,55000.0,105.0,<20%,16.113,32,5.0,1,55-64,315000,1
0,275000.0,166.0,50%-60%,100.0,1,6.0,1,25-34,265000,1
0,305000.0,44.0,>60%,16.713,1,5.0,1,25-34,1795000,1
1,425000.0,121.0,49,73.86,1,6.0,2,35-44,575000,1
0,105000.0,35.0,49,,1,5.0,2,<25,105000,1
0,155000.0,50.0,30%-<36%,95.0,1,5.0,2,<25,155000,1
1,425000.0,183.0,30%-<36%,75.0,1,2.0,1,35-44,575000,1
1,255000.0,150.0,43,70.0,1,2.0,2,45-54,365000,3
1,215000.0,259.0,49,75.0,1,2.0,1,35-44,285000,1
1,365000.0,167.0,30%-<36%,71.386,1,6.0,1,35-44,505000,1
1,205000.0,110.0,30%-<36%,59.43,32,5.0,1,55-64,345000,1
1,275000.0,109.0,20%-<30%,74.187,31,5.0,1,25-34,375000,1
1,235000.0,193.0,30%-<36%,80.0,1,5.0,1,35-44,295000,1
1,145000.0,84.0,20%-<30%,58.0,1,3.0,1,25-34,245000,1
0,65000.0,90.0,48,78.06,4,5.0,2,45-54,455000,1
1,495000.0,116.0,45,95.0,1,2.0,1,25-34,525000,1
0,455000.0,275.0,20%-<30%,71.43,31,5.0,1,55-64,635000,1
0,325000.0,175.0,50%-60%,54.25,1,5.0,2,45-54,595000,1
0,105000.0,120.0,46,95.0,1,6.0,1,35-44,705000,1
1,405000.0,205.0,41,95.0,1,5.0,1,35-44,425000,1
1,235000.0,140.0,50%-60%,66.413,4,2.0,1,35-44,925000,1
0,225000.0,72.0,45,72.47,31,6.0,1,35-44,315000,1
1,285000.0,81.0,42,79.775,32,5.0,2,25-34,355000,1
1,25000.0,50.0,20%-<30%,7.407,4,5.0,2,55-64,375000,1
1,245000.0,157.0,20%-<30%,45.7,1,6.0,2,55-64,535000,1
0,235000.0,40.0,>60%,96.5,1,3.0,2,35-44,245000,1
1,385000.0,233.0,36,90.0,1,5.0,1,25-34,425000,1
1,395000.0,86.0,47,95.0,1,5.0,2,<25,415000,1
1,545000.0,162.0,>60%,100.0,1,5.0,1,45-54,535000,1
1,345000.0,113.0,40,95.0,1,5.0,1,25-34,365000,1
0,155000.0,288.0,42,42.32,4,6.0,1,45-54,545000,1
1,505000.0,149.0,37,67.57,1,6.0,2,35-44,745000,1
0,125000.0,0.0,<20%,,1,5.0,2,<25,135000,1
1,195000.0,49.0,44,36.6,32,2.0,2,45-54,535000,1
0,225000.0,74.0,49,92.0,1,5.0,1,25-34,245000,1
1,395000.0,91.0,>60%,100.0,1,5.0,1,55-64,395000,1
1,305000.0,71.0,41,94.99,1,2.0,2,35-44,325000,1
1,435000.0,131.0,30%-<36%,90.0,1,3.0,1,45-54,485000,1
1,385000.0,289.0,20%-<30%,76.98,1,5.0,1,55-64,495000,1
1,275000.0,79.0,37,80.0,1,5.0,1,25-34,345000,1
1,195000.0,52.0,,,32,5.0,2,65-74,395000,1
1,165000.0,325.0,20%-<30%,75.0,1,3.0,1,35-44,255000,3
0,405000.0,228.0,41,85.1,32,5.0,1,45-54,475000,1
1,325000.0,79.0,49,100.0,1,6.0,1,35-44,325000,1
1,345000.0,87.0,43,80.0,1,5.0,1,25-34,435000,1
1,305000.0,104.0,30%-<36%,50.77,1,2.0,1,45-54,605000,1
1,645000.0,194.0,30%-<36%,82.323,1,21.0,1,35-44,785000,1
1,65000.0,81.0,41,66.5,32,5.0,2,55-64,405000,1
1,495000.0,221.0,20%-<30%,95.0,1,5.0,1,55-64,525000,1
1,405000.0,175.0,20%-<30%,80.0,1,6.0,3,55-64,505000,1
1,205000.0,133.0,20%-<30%,37.43,1,2.0,2,55-64,535000,1
0,205000.0,187.0,>60%,21.941,2,5.0,2,55-64,1985000,1
0,205000.0,142.0,43,86.957,31,5.0,2,35-44,235000,1
1,345000.0,192.0,49,97.0,1,5.0,1,35-44,355000,1
1,355000.0,97.0,39,80.0,1,5.0,2,25-34,445000,1
1,195000.0,74.0,47,100.0,1,6.0,3,<25,195000,1
1,335000.0,110.0,,,4,3.0,1,35-44,425000,3
0,125000.0,0.0,<20%,34.29,4,6.0,2,55-64,355000,1
1,775000.0,403.0,Exempt,Exempt,1,5.0,1,25-34,Exempt,1
1,185000.0,56.0,47,90.0,1,5.0,2,<25,205000,1
0,95000.0,164.0,30%-<36%,85.25,2,5.0,1,45-54,455000,1
0,45000.0,55.0,49,,1,5.0,1,<25,45000,1
1,375000.0,118.0,42,96.5,1,5.0,2,35-44,385000,1
1,185000.0,58.0,20%-<30%,101.01,1,3.0,2,35-44,185000,1
1,345000.0,154.0,44,100.0,1,21.0,1,25-34,345000,1
1,335000.0,123.0,50%-60%,71.429,1,5.0,2,25-34,455000,1
1,45000.0,99.0,30%-<36%,48.697,4,5.0,2,45-54,245000,1
1,465000.0,144.0,37,95.0,1,5.0,1,35-44,495000,1
1,285000.0,64.0,39,69.512,1,5.0,1,65-74,415000,1
1,255000.0,0.0,<20%,69.97,1,5.0,2,45-54,365000,3
1,45000.0,94.0,50%-60%,79.233,1,6.0,3,35-44,255000,1
1,125000.0,92.0,<20%,,1,5.0,1,35-44,125000,1
1,275000.0,59.0,50%-60%,100.0,1,3.0,1,35-44,265000,1
0,305000.0,89.0,40,75.0,32,6.0,3,55-64,405000,1
0,55000.0,149.0,45,73.6,4,6.0,2,25-34,505000,1
1,75000.0,30.0,41,39.0,32,6.0,3,>74,205000,1
1,425000.0,164.0,20%-<30%,90.0,1,5.0,1,35-44,475000,1
1,155000.0,33.0,44,52.0,31,5.0,1,65-74,295000,1
0,105000.0,36.0,50%-60%,,1,5.0,2,35-44,125000,1
0,305000.0,440.0,<20%,59.8,2,5.0,2,35-44,1605000,1
1,155000.0,74.0,20%-<30%,34.0,31,5.0,2,>74,455000,1
1,95000.0,75.0,20%-<30%,92.68,1,5.0,1,<25,105000,1
0,285000.0,59.0,>60%,96.5,1,6.0,1,55-64,295000,1
1,285000.0,187.0,20%-<30%,73.568,1,5.0,1,25-34,385000,1
1,65000.0,140.0,Exempt,Exempt,2,5.0,2,35-44,Exempt,1
1,345000.0,100.0,50%-60%,96.5,1,5.0,1,25-34,355000,1
0,645000.0,247.0,30%-<36%,29.455,32,5.0,1,45-54,2205000,1
0,85000.0,62.0,50%-60%,42.5,4,3.0,1,55-64,205000,1
1,165000.0,51.0,41,61.567,32,3.0,1,45-54,265000,1
1,595000.0,268.0,Exempt,Exempt,1,5.0,1,45-54,Exempt,1
1,155000.0,100.0,50%-60%,,1,5.0,1,65-74,155000,1
1,265000.0,77.0,37,66.0,32,5.0,2,45-54,405000,1
1,325000.0,200.0,38,89.99,1,2.0,1,45-54,365000,1
1,155000.0,186.0,<20%,34.365,1,6.0,3,55-64,435000,1
1,465000.0,177.0,20%-<30%,79.897,1,2.0,1,35-44,585000,1
1,195000.0,59.0,39,101.409,1,5.0,1,55-64,195000,1
1,605000.0,159.0,49,70.0,32,6.0,3,45-54,865000,1
1,635000.0,191.0,20%-<30%,93.767,1,3.0,1,45-54,685000,1
1,585000.0,220.0,30%-<36%,95.0,1,5.0,1,35-44,615000,1
1,215000.0,77.0,36,70.0,32,5.0,1,55-64,305000,1
0,355000.0,114.0,48,80.0,1,2.0,2,25-34,445000,1
0,585000.0,0.0,,100.0,1,5.0,1,35-44,565000,1
1,445000.0,138.0,49,80.0,32,5.0,1,35-44,555000,1
0,25000.0,100.0,<20%,100.0,2,3.0,1,25-34,25000,1
0,165000.0,91.0,<20%,90.0,1,5.0,1,25-34,,1
1,565000.0,115.0,38,80.0,1,2.0,1,<25,705000,1
1,455000.0,147.0,45,67.16,1,3.0,1,25-34,675000,1
1,225000.0,94.0,30%-<36%,80.0,1,6.0,1,25-34,275000,1
1,255000.0,60.0,42,92.391,1,5.0,2,<25,275000,1
0,325000.0,0.0,,,32,5.0,1,45-54,,1
1,65000.0,309.0,20%-<30%,67.21,2,6.0,3,35-44,535000,1
0,475000.0,190.0,30%-<36%,80.14,31,2.0,1,45-54,595000,1
0,35000.0,52.0,>60%,51.136,2,5.0,1,25-34,395000,1
1,1405000.0,3251.0,<20%,78.194,32,6.0,3,45-54,1805000,2
0,105000.0,10.0,,,4,3.0,2,>74,,1
1,395000.0,105.0,30%-<36%,85.0,1,3.0,2,25-34,465000,1
0,455000.0,126.0,45,83.0,1,6.0,1,25-34,545000,1
0,205000.0,0.0,,,32,5.0,1,45-54,,1
1,1045000.0,750.0,20%-<30%,99.24,1,5.0,1,55-64,1055000,2
1,205000.0,56.0,50%-60%,96.5,1,5.0,2,<25,215000,1
1,405000.0,309.0,30%-<36%,71.579,31,3.0,1,35-44,575000,3
1,455000.0,141.0,43,95.0,1,5.0,1,25-34,485000,1
1,305000.0,97.0,30%-<36%,54.546,31,5.0,1,>74,555000,1
1,225000.0,161.0,46,96.5,1,5.0,1,45-54,235000,1
0,105000.0,46.0,50%-60%,68.387,2,2.0,1,35-44,155000,1
1,315000.0,96.0,36,100.0,1,3.0,2,35-44,305000,1
1,265000.0,63.0,45,100.0,1,5.0,1,35-44,265000,1
0,575000.0,116.0,>60%,95.656,1,5.0,1,35-44,595000,1
1,215000.0,105.0,43,80.0,1,3.0,2,65-74,265000,1
0,125000.0,94.0,30%-<36%,80.0,1,5.0,2,45-54,155000,3
1,455000.0,164.0,20%-<30%,95.0,1,5.0,1,25-34,475000,1
0,325000.0,75.0,>60%,99.096,31,3.0,1,55-64,335000,1
1,335000.0,143.0,20%-<30%,97.0,1,2.0,2,35-44,345000,1
1,65000.0,59.0,20%-<30%,,1,5.0,2,>74,75000,1
0,125000.0,39.0,,90.58,31,5.0,2,35-44,135000,1
1,105000.0,36.0,40,90.0,1,5.0,2,35-44,125000,1
1,315000.0,316.0,20%-<30%,80.0,1,2.0,1,35-44,395000,1
1,285000.0,127.0,37,80.0,32,5.0,1,25-34,355000,1
1,265000.0,459.0,20%-<30%,80.0,1,6.0,3,45-54,335000,3
1,265000.0,70.0,40,97.0,1,5.0,1,25-34,275000,1
0,285000.0,76.0,30%-<36%,80.0,32,6.0,1,35-44,365000,1
1,645000.0,822.0,<20%,51.76,32,6.0,1,65-74,1255000,1
1,185000.0,112.0,30%-<36%,65.818,31,1.0,2,55-64,275000,1
0,155000.0,89.0,37,,1,3.0,2,>74,155000,1
1,235000.0,65.0,37,95.0,1,5.0,2,35-44,255000,1
0,115000.0,13.0,,,31,5.0,2,>74,,1
1,425000.0,98.0,48,96.57,1,21.0,2,25-34,435000,1
1,405000.0,101.0,47,67.0,1,5.0,2,65-74,605000,1
1,105000.0,83.0,47,31.41,32,5.0,1,65-74,395000,1
1,35000.0,42.0,40,,1,5.0,2,35-44,35000,1
1,275000.0,104.0,45,96.5,1,5.0,1,45-54,285000,1
0,215000.0,33.0,>60%,60.0,1,2.0,1,35-44,365000,3
1,385000.0,733.0,20%-<30%,64.089,31,2.0,1,65-74,605000,3
0,105000.0,127.0,50%-60%,37.78,31,6.0,3,55-64,795000,1
1,255000.0,203.0,40,37.0,32,6.0,3,55-64,705000,1
0,205000.0,19.0,Exempt,Exempt,4,3.0,2,45-54,Exempt,1
1,65000.0,63.0,Exempt,Exempt,31,5.0,1,65-74,Exempt,1
0,245000.0,57.0,>60%,96.5,1,3.0,2,25-34,255000,1
1,375000.0,121.0,37,85.0,1,5.0,1,35-44,445000,1
1,775000.0,258.0,49,,1,5.0,1,45-54,825000,1
1,155000.0,126.0,30%-<36%,47.32,2,5.0,1,55-64,775000,1
1,325000.0,74.0,47,97.0,1,5.0,1,25-34,335000,1
1,435000.0,144.0,20%-<30%,90.0,1,2.0,1,35-44,485000,1
1,295000.0,173.0,43,95.0,1,5.0,2,25-34,315000,1
1,255000.0,103.0,20%-<30%,95.0,1,6.0,1,65-74,265000,1
0,285000.0,130.0,>60%,95.0,1,3.0,1,25-34,295000,3
1,125000.0,85.0,36,65.0,32,5.0,1,45-54,185000,1
1,155000.0,108.0,38,80.0,32,5.0,1,>74,195000,1
1,555000.0,151.0,38,80.0,1,2.0,1,35-44,695000,1
1,145000.0,189.0,<20%,47.715,31,5.0,2,35-44,305000,1
1,335000.0,259.0,30%-<36%,95.0,1,5.0,1,25-34,355000,1
0,385000.0,105.0,30%-<36%,94.84,31,2.0,1,35-44,405000,1
0,115000.0,36.0,42,52.129,2,5.0,2,65-74,215000,1
1,165000.0,74.0,30%-<36%,100.0,1,5.0,1,35-44,165000,1
0,25000.0,296.0,<20%,62.17,2,5.0,1,>74,235000,1
1,145000.0,71.0,37,80.0,32,5.0,2,45-54,185000,1
1,255000.0,79.0,44,100.428,1,5.0,1,25-34,255000,1
1,85000.0,149.0,41,67.43,2,4.0,1,35-44,735000,1
1,305000.0,107.0,45,96.5,1,3.0,2,35-44,315000,1
0,105000.0,75.0,>60%,84.883,1,3.0,1,35-44,465000,1
1,325000.0,87.0,50%-60%,96.5,1,5.0,2,45-54,335000,1
1,55000.0,92.0,37,74.15,4,5.0,1,35-44,315000,1
1,285000.0,88.0,50%-60%,88.96,1,5.0,1,35-44,325000,1
1,465000.0,144.0,20%-<30%,80.0,1,2.0,1,45-54,585000,1
1,385000.0,151.0,30%-<36%,95.0,1,6.0,3,25-34,405000,1
1,425000.0,127.0,44,70.0,1,5.0,1,35-44,605000,1
0,275000.0,99.0,42,100.0,1,5.0,1,25-34,275000,1
0,295000.0,0.0,,,32,3.0,1,35-44,,1
0,25000.0,160.0,20%-<30%,87.581,4,5.0,2,35-44,225000,1
1,245000.0,160.0,20%-<30%,80.0,1,5.0,1,25-34,315000,1
1,255000.0,105.0,30%-<36%,76.418,32,6.0,3,35-44,335000,1
1,345000.0,156.0,20%-<30%,80.0,1,5.0,1,25-34,435000,1
1,175000.0,140.0,20%-<30%,36.383,1,6.0,1,65-74,485000,1
1,325000.0,55.0,43,78.85,32,5.0,1,>74,415000,1
1,75000.0,78.0,<20%,49.33,32,5.0,2,55-64,155000,1
1,145000.0,67.0,30%-<36%,49.153,1,3.0,1,65-74,295000,1
1,115000.0,85.0,50%-60%,52.4,31,5.0,1,45-54,225000,1
1,65000.0,61.0,>60%,74.48,2,6.0,1,45-54,265000,1
1,755000.0,241.0,37,80.0,1,5.0,1,35-44,945000,1
0,55000.0,155.0,30%-<36%,79.2,4,5.0,1,25-34,505000,1
1,235000.0,55.0,50%-60%,94.0,1,3.0,1,25-34,245000,1
1,295000.0,72.0,46,100.0,1,5.0,2,55-64,295000,1
1,645000.0,178.0,20%-<30%,74.317,1,5.0,1,65-74,875000,1
1,165000.0,76.0,Exempt,Exempt,1,5.0,1,45-54,Exempt,3
1,595000.0,321.0,20%-<30%,80.0,1,5.0,3,25-34,745000,1
1,485000.0,173.0,30%-<36%,95.0,1,2.0,1,45-54,525000,1
1,185000.0,67.0,48,83.8,1,5.0,1,25-34,215000,1
1,625000.0,160.0,39,75.0,1,2.0,1,45-54,825000,1
1,385000.0,105.0,48,96.5,1,5.0,1,35-44,395000,1
0,355000.0,357.0,46,74.72,4,5.0,1,55-64,1435000,1
0,405000.0,153.0,,,2,5.0,1,35-44,,1
1,245000.0,73.0,50%-60%,98.464,1,5.0,1,45-54,255000,1
1,135000.0,163.0,<20%,36.579,1,5.0,1,35-44,385000,1
1,175000.0,46.0,30%-<36%,54.0,32,2.0,2,45-54,335000,1
0,135000.0,60.0,43,,1,3.0,2,25-34,135000,1
0,55000.0,25.0,50%-60%,67.869,4,5.0,1,65-74,215000,1
1,155000.0,75.0,37,54.945,32,6.0,1,35-44,275000,1
1,545000.0,280.0,30%-<36%,80.0,1,2.0,1,35-44,675000,1
0,95000.0,58.0,36,33.929,4,5.0,2,45-54,285000,1
1,295000.0,67.0,50%-60%,,1,6.0,2,65-74,395000,1
1,135000.0,103.0,37,48.07,31,3.0,2,55-64,285000,1
0,95000.0,43.0,41,,1,5.0,2,45-54,105000,1
1,235000.0,103.0,48,75.0,1,5.0,1,35-44,315000,3
1,405000.0,126.0,Exempt,Exempt,1,2.0,1,35-44,Exempt,1
0,85000.0,61.0,20%-<30%,,1,5.0,1,25-34,95000,1
0,205000.0,88.0,43,,1,5.0,2,35-44,205000,1
1,435000.0,125.0,46,80.0,1,5.0,1,25-34,545000,1
1,405000.0,186.0,<20%,80.0,1,5.0,1,25-34,515000,1
1,75000.0,90.0,30%-<36%,75.54,4,5.0,2,65-74,345000,1
1,325000.0,142.0,36,80.0,1,5.0,1,35-44,405000,1
1,235000.0,155.0,<20%,42.279,1,6.0,2,35-44,545000,1
0,85000.0,231.0,30%-<36%,95.0,1,3.0,1,45-54,595000,1
1,85000.0,54.0,42,55.0,31,6.0,3,35-44,155000,1
1,275000.0,166.0,30%-<36%,70.0,1,2.0,2,35-44,395000,3
1,315000.0,114.0,36,80.0,1,5.0,1,25-34,385000,1
1,215000.0,107.0,20%-<30%,47.427,31,5.0,2,35-44,445000,1
1,275000.0,78.0,36,100.0,1,5.0,1,25-34,265000,1
1,305000.0,106.0,48,95.0,1,5.0,1,25-34,325000,1
1,365000.0,194.0,<20%,72.781,32,5.0,1,55-64,505000,1
0,45000.0,7.0,>60%,80.0,32,5.0,2,45-54,45000,1
1,115000.0,36.0,41,80.0,32,5.0,2,45-54,145000,1
0,75000.0,145.0,,,1,2.0,1,55-64,,1
1,405000.0,173.0,45,52.688,1,6.0,1,55-64,755000,1
1,285000.0,136.0,47,95.0,1,6.0,1,35-44,295000,1
1,235000.0,157.0,30%-<36%,51.0,32,5.0,1,45-54,465000,1
1,395000.0,135.0,30%-<36%,50.76,32,5.0,1,45-54,785000,1
1,255000.0,137.0,20%-<30%,49.505,1,5.0,1,>74,505000,1
1,215000.0,111.0,41,96.5,1,5.0,1,<25,225000,1
1,215000.0,93.0,30%-<36%,80.908,31,5.0,2,35-44,265000,1
1,245000.0,43.0,42,80.0,31,5.0,1,65-74,305000,1
1,335000.0,428.0,<20%,75.0,31,5.0,2,35-44,455000,3
1,1445000.0,506.0,20%-<30%,95.0,1,5.0,2,45-54,1525000,1
1,575000.0,135.0,38,95.0,1,5.0,2,45-54,605000,1
1,245000.0,87.0,39,95.0,1,5.0,1,25-34,265000,1
1,425000.0,214.0,30%-<36%,90.0,1,27.0,1,35-44,475000,1
1,85000.0,158.0,39,74.204,32,5.0,2,45-54,305000,1
1,75000.0,114.0,43,29.95,31,5.0,1,55-64,255000,3
1,255000.0,111.0,30%-<36%,56.236,1,2.0,2,35-44,455000,1
1,55000.0,124.0,<20%,17.02,31,5.0,2,55-64,325000,1
1,365000.0,88.0,48,46.0,31,5.0,1,35-44,805000,1
0,175000.0,19.0,>60%,63.235,32,5.0,2,45-54,275000,1
1,515000.0,244.0,30%-<36%,80.0,32,5.0,1,35-44,645000,1
1,555000.0,154.0,41,78.34,1,2.0,1,35-44,715000,1
1,245000.0,140.0,20%-<30%,97.0,1,5.0,1,45-54,245000,1
0,65000.0,77.0,30%-<36%,25.126,4,6.0,1,65-74,255000,1
1,315000.0,58.0,44,72.6,32,3.0,1,35-44,425000,1
0,85000.0,54.0,40,,1,6.0,3,25-34,85000,1
0,805000.0,232.0,20%-<30%,85.0,1,21.0,2,35-44,945000,1
1,105000.0,88.0,43,75.0,1,5.0,2,35-44,145000,2
1,205000.0,181.0,20%-<30%,45.733,32,5.0,1,55-64,455000,1
1,335000.0,60.0,46,95.0,1,5.0,2,<25,355000,1
1,505000.0,132.0,30%-<36%,100.0,1,5.0,1,55-64,505000,1
1,265000.0,68.0,37,95.0,1,5.0,1,25-34,285000,1
1,75000.0,105.0,38,80.0,4,4.0,1,25-34,515000,1
1,275000.0,89.0,43,100.0,1,5.0,1,55-64,265000,1
1,1005000.0,633.0,39,80.0,1,5.0,1,35-44,1255000,1
1,275000.0,112.0,30%-<36%,80.0,1,2.0,2,45-54,345000,1
1,195000.0,48.0,44,96.5,1,5.0,2,35-44,205000,1
0,275000.0,63.0,43,97.0,1,5.0,1,25-34,285000,1
0,235000.0,90.0,39,72.2,31,5.0,1,25-34,325000,1
1,295000.0,69.0,45,24.0,31,5.0,1,45-54,1285000,1
1,125000.0,66.0,30%-<36%,92.43,1,5.0,2,45-54,145000,1
1,5000.0,68.0,46,99.445,1,6.0,2,35-44,235000,1
1,255000.0,165.0,39,59.624,31,5.0,1,35-44,425000,1
1,475000.0,200.0,45,90.0,1,5.0,1,25-34,535000,1
1,1775000.0,847.0,44,80.0,1,5.0,1,35-44,2225000,1
1,45000.0,250.0,30%-<36%,16.4,2,6.0,3,45-54,905000,1
0,55000.0,101.0,>60%,82.835,4,1.0,2,55-64,395000,1
1,385000.0,123.0,30%-<36%,80.0,1,5.0,1,25-34,485000,1
0,45000.0,94.0,,,2,2.0,1,35-44,,1
1,615000.0,199.0,30%-<36%,95.0,1,1.0,2,35-44,655000,1
0,245000.0,90.0,>60%,32.67,32,5.0,1,55-64,755000,1
0,115000.0,26.0,>60%,,1,5.0,1,<25,115000,1
1,295000.0,143.0,47,95.0,1,2.0,2,35-44,315000,1
1,165000.0,66.0,45,63.0,1,6.0,1,55-64,255000,1
1,205000.0,68.0,41,89.0,1,5.0,1,45-54,235000,1
1,195000.0,180.0,30%-<36%,80.0,32,5.0,1,35-44,235000,1
1,65000.0,224.0,38,67.66,4,5.0,1,55-64,415000,1
1,295000.0,114.0,20%-<30%,80.0,1,5.0,1,25-34,375000,1
1,265000.0,61.0,50%-60%,89.612,1,5.0,1,35-44,285000,1
1,325000.0,62.0,50%-60%,100.0,1,5.0,1,25-34,325000,1
1,255000.0,104.0,41,50.0,2,5.0,1,45-54,505000,1
1,295000.0,166.0,37,90.0,1,5.0,1,25-34,325000,1
1,135000.0,0.0,40,33.089,32,1.0,2,65-74,425000,1
1,105000.0,126.0,<20%,43.47,1,3.0,1,55-64,235000,3
1,295000.0,93.0,42,96.5,1,6.0,1,55-64,295000,1
1,235000.0,72.0,30%-<36%,75.0,1,2.0,2,35-44,315000,3
0,135000.0,49.0,,,32,5.0,1,55-64,,1
0,235000.0,46.0,>60%,79.72,31,6.0,3,45-54,305000,1
1,495000.0,245.0,45,58.39,1,6.0,1,25-34,845000,1
0,295000.0,0.0,,,32,5.0,1,55-64,,1
1,305000.0,65.0,44,76.784,4,5.0,1,35-44,395000,1
0,275000.0,0.0,,,1,5.0,1,25-34,,3
1,285000.0,162.0,37,80.0,1,5.0,1,35-44,355000,1
1,345000.0,89.0,Exempt,Exempt,1,5.0,1,35-44,Exempt,1
1,155000.0,54.0,50%-60%,96.5,1,6.0,1,25-34,155000,1
1,245000.0,84.0,Exempt,Exempt,1,5.0,1,35-44,Exempt,2
1,215000.0,67.0,41,73.011,1,5.0,2,45-54,295000,1
1,125000.0,54.0,41,37.5,1,5.0,1,65-74,325000,1
1,995000.0,689.0,20%-<30%,90.0,1,3.0,1,35-44,1105000,1
1,225000.0,83.0,46,90.0,1,5.0,1,35-44,255000,2
0,45000.0,189.0,<20%,71.2,4,5.0,1,65-74,365000,1
1,105000.0,733.0,Exempt,Exempt,2,5.0,1,45-54,Exempt,1
1,25000.0,18.0,,66.44,1,5.0,1,45-54,45000,3
1,85000.0,93.0,50%-60%,79.93,4,5.0,1,45-54,395000,1
1,175000.0,42.0,42,100.43,1,6.0,2,45-54,185000,1
1,295000.0,140.0,30%-<36%,53.08,32,5.0,1,45-54,515000,1
1,125000.0,135.0,48,95.0,1,5.0,2,<25,125000,1
0,255000.0,69.0,44,94.97,32,6.0,3,55-64,265000,1
0,45000.0,31.0,>60%,,1,6.0,2,55-64,45000,1
1,295000.0,151.0,20%-<30%,,1,5.0,2,45-54,365000,1
1,75000.0,70.0,39,76.79,32,5.0,1,45-54,555000,1
1,335000.0,76.0,47,52.76,1,5.0,1,25-34,635000,1
1,75000.0,56.0,43,50.0,32,5.0,1,45-54,155000,1
1,145000.0,148.0,47,80.0,1,5.0,2,25-34,185000,3
1,225000.0,75.0,39,68.182,31,5.0,1,35-44,335000,1
1,435000.0,150.0,30%-<36%,97.0,1,5.0,1,25-34,445000,1
1,325000.0,100.0,43,96.5,1,3.0,1,35-44,335000,1
1,85000.0,87.0,36,24.969,31,5.0,1,45-54,325000,1
1,335000.0,152.0,20%-<30%,95.0,1,5.0,2,25-34,355000,1
1,75000.0,155.0,30%-<36%,80.0,1,5.0,1,25-34,95000,1
1,275000.0,95.0,36,75.623,1,5.0,1,35-44,365000,1
0,85000.0,82.0,20%-<30%,56.67,32,5.0,1,45-54,155000,1
